S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Human Resource Management,Recruitment & Selection,10hrs 13min,12th,English/Hindi,Module 1: Introduction to Recruitment & Selection,Recruitment and Selection || What is Recruitment and Selection? || HR Tutorials India || Recruitment,https://www.youtube.com/watch?v=2DadIQW5ep4
2,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 1: Introduction to Recruitment & Selection,What is Recruitment? || Importance of Recruitment || HR Tutorials India || Importance of Recruitment,https://www.youtube.com/watch?v=nmajfZiMlzY
3,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 1: Introduction to Recruitment & Selection,Factors Affecting Recruitment || What Factors Affect Recruitment? || HR Tutorials India,https://www.youtube.com/watch?v=tkTLajcLRbE
4,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 2: Factors Affecting Recruitment & The Recruitment Process,Recruitment Process || Process of Recruitment || HR Tutorials India || Process of Recruitment in HRM,https://www.youtube.com/watch?v=TYAn3hWkhX8
5,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 2: Factors Affecting Recruitment & The Recruitment Process,Recruitment Planing || Recruitment Plan || HR Tutorials India || Planning of Recruitment,https://www.youtube.com/watch?v=5xEzVFrN3wA
6,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 2: Factors Affecting Recruitment & The Recruitment Process,Recruitment Strategy || Strategic Recruitment || HR Tutorials India || Recruitment Strategies,https://www.youtube.com/watch?v=RTwVPr_2_sU
7,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 3: Recruitment Planning & Strategy,Searching the Right Applicant || Searching the Right Candidate || HR Tutorials India,https://www.youtube.com/watch?v=ugPX7EmoPzg
8,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 3: Recruitment Planning & Strategy,Screen and Shortlist Applicants || Screen and Shortlist Candidates || HR Tutorials India,https://www.youtube.com/watch?v=lNqxPBdE0Qc
9,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 4: Searching & Screening Applicants,Evaluate and Control Applicants || How to Evaluate and Control Resources? || HR Tutorials India,https://www.youtube.com/watch?v=78JnKe3KvZg
10,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 4: Searching & Screening Applicants,Types of Recruitment || Different Types of Recruitment || HR Tutorials India || Recruitment Types,https://www.youtube.com/watch?v=XnLIDnKjJhU
11,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 5: Evaluating & Controlling Applicants,Internal Sources of Recruitment || Types of Internal Sources of Recruitment || HR Tutorials India,https://www.youtube.com/watch?v=MYpvsva2Glc
12,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 5: Evaluating & Controlling Applicants,External Sources of Recruitment || Types of External Sources of Recruitment || HR Tutorials India,https://www.youtube.com/watch?v=Bk_tAz6EY_I
13,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 6: Types of Recruitment,How to Interview in Recruitment? || Types of Interviews in Recruitment || HR Tutorials India,https://www.youtube.com/watch?v=K93X65wOJb4
14,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 6: Types of Recruitment,How to Interview? || How to Interview a Candidate? || HR Tutorials India | How to Interview Someone?,https://www.youtube.com/watch?v=jgzuMurQxIQ
15,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 7: Internal & External Sources of Recruitment,What is the Importance of an Interview? || Importance of Interview || HR Tutorials India | Interview,https://www.youtube.com/watch?v=7FvIN65thQM
16,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 7: Internal & External Sources of Recruitment,What is the Process of an Interview? | Process of Interview | HR Tutorials India | Interview Process,https://www.youtube.com/watch?v=iLt2ARFLGys
17,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 8: Interviewing in Recruitment,Types of Interviews || Different Types of Interviews || HR Tutorials India || Interview Types,https://www.youtube.com/watch?v=kBsA1ZyrukY
18,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 8: Interviewing in Recruitment,What Is Selection? | Importance Of Selection | HR Tutorials India | Process Of Selection | Selection,https://www.youtube.com/watch?v=VemAIQg9uC4
19,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 9: The Importance & Process of Interviews,Importance Of Selection | What is Selection? | HR Tutorials India | Process Of Selection | Selection,https://www.youtube.com/watch?v=ZVYaXd0t7aA
20,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 9: The Importance & Process of Interviews,Process Of Selection || Selection Process || HR Tutorials India || What Is Selection? || Selection,https://www.youtube.com/watch?v=ZuPgWmL8y8A
21,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 10: Types of Interviews & Selection,How to Negotiate Salary with a Candidate? || Salary Negotiation with a Resource | HR Tutorials India,https://www.youtube.com/watch?v=sTnOaY_JQ_s
22,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 10: Types of Interviews & Selection,How to Make a Job Offer? || How to Make an Offer? | HR Tutorials India | Making an Offer | Job Offer,https://www.youtube.com/watch?v=0yLD-_nmcDs
23,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 11: Salary Negotiation & Job Offers,How to Prepare a Job Offer? || Prepare a Job Offer || HR Tutorials India || How to Prepare an Offer?,https://www.youtube.com/watch?v=7ddz1t8PJo4
24,Human Resource Management,Recruitment & Selection,,12th,English/Hindi,Module 11: Salary Negotiation & Job Offers,What next after Issuing a Job Offer? || After Issuing a Job Offer || HR Tutorials India || Job Offer,https://www.youtube.com/watch?v=LlC87xJ_OtU
