S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",26hrs 23min,12th,English/Hindi,Module 1: Introduction to Trade Unions,Unit 1  Meaning and Objective of Trade Union,https://www.youtube.com/watch?v=2jnZeAyhg6c
2,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 1: Introduction to Trade Unions,Definition and Registration,https://www.youtube.com/watch?v=CMwpX5VEpbU
3,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 2: Legal Framework of Trade Unions,Rights of Trade Union,https://www.youtube.com/watch?v=9M8paMl3vUY
4,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 2: Legal Framework of Trade Unions,Liabilities of Registered Trade Unions,https://www.youtube.com/watch?v=8kIBr8tdiaw
5,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 3: The Industrial Disputes Act 1947: Objectives and Scope,Industrial Dispute Act 1947 objectives and causes,https://www.youtube.com/watch?v=3BTZDVSUm9Q
6,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 3: The Industrial Disputes Act 1947: Objectives and Scope,The Industrial Disputes Act 1947,https://www.youtube.com/watch?v=0zFM-MHglrE
7,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 4: Strikes and Lockouts under the ID Act,ID Act  Industry in detail,https://www.youtube.com/watch?v=3igV1k3PFns
8,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 4: Strikes and Lockouts under the ID Act,ID Act  Strike and its types,https://www.youtube.com/watch?v=nIgqXyjzJS8
9,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,"Module 5: Layoff, Closure, and Retrenchment",Provisions related to strike,https://www.youtube.com/watch?v=hJHiLxLK1K0
10,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,"Module 5: Layoff, Closure, and Retrenchment",ID Act Lockout in detail,https://www.youtube.com/watch?v=Lv6ipvi09Pk
11,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 6: Dispute Resolution Mechanisms,ID Act Layoff and closure in details,https://www.youtube.com/watch?v=o2ruUgGtL8I
12,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 6: Dispute Resolution Mechanisms,Retrenchment in detail,https://www.youtube.com/watch?v=BPuJqXF9S1Y
13,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 7: Dispute Resolution Mechanisms,Works Committees/Conciliation Officers/Board of Conciliation,https://www.youtube.com/watch?v=Bi35E8EcIFs
14,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 7: Dispute Resolution Mechanisms,Court of Inquiry/Labour Courts/Industrial Tribunal/National Tibunal,https://www.youtube.com/watch?v=yFRpMCyPFLw
15,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 8: Collective Bargaining and Agreements,"Reference of Disputes to Boards, Courts or Tribunals by AG",https://www.youtube.com/watch?v=61Di1NmxqUE
16,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 8: Collective Bargaining and Agreements,Unit 5/ Labor Law/LLB 3rd Year/3rd Semester/RTMNU,https://www.youtube.com/watch?v=onnEFSBHbQM
17,Law,"LLB-3 Years, 3rd Sem. Labour Law - I",,12th,English/Hindi,Module 9: Contemporary Issues in Labour Law,Collective Bargaining,https://www.youtube.com/watch?v=RGQGgglAEyQ
