S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Communication,Advertising Management - Dwivedi Guidance,22hrs 18min,12th,English/Hindi,Module 1: Introduction to Advertising Management,"advertising budget, advertising management, advertising management bba 3rd semester, process, mba",https://www.youtube.com/watch?v=OYH4BB6yO_E
2,Communication,Advertising Management - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Advertising Management,"advertising agency, advertising Management, advertising management bba 3rd semester, process, mba",https://www.youtube.com/watch?v=0-jSpfgtmJY
3,Communication,Advertising Management - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Advertising Management,"Copy writing, Advertising layout, Elements of Copy writing, advertisement management, ad copy",https://www.youtube.com/watch?v=G4XYcx1vRss
4,Communication,Advertising Management - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Advertising Management,"advertising management, advertising management bba 3rd semester, advertising management mba, lu bba",https://www.youtube.com/watch?v=teQDiqxgg9w
5,Communication,Advertising Management - Dwivedi Guidance,,12th,English/Hindi,Module 2: Advertising Agencies and Copywriting,"Appeals in Advertisement, Advertising appeals, advertising appeals types, advertising management",https://www.youtube.com/watch?v=3Y1btOg6VUs
6,Communication,Advertising Management - Dwivedi Guidance,,12th,English/Hindi,Module 2: Advertising Agencies and Copywriting,"AIDA Model, aida model advertising, aida model in marketing, aida marketing, advertising management",https://www.youtube.com/watch?v=bDHx3zW2w1E
7,Communication,Advertising Management - Dwivedi Guidance,,12th,English/Hindi,Module 2: Advertising Agencies and Copywriting,Marketing Mix | Elements of Marketing Mix | marketing mix 4 p's | marketing mix class 12 | marketing,https://www.youtube.com/watch?v=2aHxvAL0qxQ
8,Communication,Advertising Management - Dwivedi Guidance,,12th,English/Hindi,Module 3: Advertising Appeals and AIDA Model,4 p of marketing | four p of marketing | four p of marketing mix | 4 p of marketing mix | marketing,https://www.youtube.com/watch?v=sEs4kjjO87s
9,Communication,Advertising Management - Dwivedi Guidance,,12th,English/Hindi,Module 3: Advertising Appeals and AIDA Model,"Promotion Mix advertising, promotion mix elements, promotion mix in Marketing,advertising management",https://www.youtube.com/watch?v=COn5kJ8lYVY
10,Communication,Advertising Management - Dwivedi Guidance,,12th,English/Hindi,Module 4: Marketing Mix and 4 P's of Marketing,"Outdoor Media, Outdoor media Advertising, type of outdoor media advertising, advertising management",https://www.youtube.com/watch?v=kUSqBbfKU8Y
11,Communication,Advertising Management - Dwivedi Guidance,,12th,English/Hindi,"Module 5: Promotion Mix, Outdoor Media & Role of Advertising","Role of Advertising in Social and Economic Development in India, Advertising Management, BBA, Bcom",https://www.youtube.com/watch?v=bWb5ivm3e5Q
